,prefix,input_text,target_text
0,webNLG,Familiarity | knowledge_skills | the strengths && Familiarity | knowledge_skills | weaknesses of wider toolsets && Familiarity | knowledge_skills | PowerQuery && Familiarity | knowledge_skills | ADF && Familiarity | knowledge_skills | Databricks && Familiarity | knowledge_skills | dbt," Familiarity with the strengths and weaknesses of wider toolsets such as PowerQuery, ADF, Databricks, dbt"
1,webNLG,Familiar | knowledge_areas | agile delivery framework, Familiar with agile delivery framework
2,webNLG,Experience | Experience_skills | working with machine learning or predictive models," Experience working with machine learning or predictive models, e"
3,webNLG,Knowledgeable | knowledge_skills | proactively upskilling && Knowledgeable | knowledge_skills | adaptable," Knowledgeable – proactively upskilling, adaptable,"
4,webNLG,Degree | degree_in | a mathematical / analytical related discipline && Degree | degree_in | equivalent,Degree in a mathematical/analytical related discipline or equivalent
5,webNLG,Ability | knowledge_skills | analyse and extract information from large data sets, Ability to analyse and extract information from large data sets
6,webNLG,A technical ability | knowledge_skills | using software ( SQL / R or other coding languages ), A technical ability using software (SQL/R or other coding languages)
7,webNLG,Knowledge | knowledge_skills | distressed debt, Knowledge of distressed debt
8,webNLG,Recent industry experience | Experience_skills | a Data Analysis role having worked with large sets of data, Recent industry experience in a Data Analysis role having worked with large sets of data
9,webNLG,Proficiency | knowledge_skills | the use of a statistical programming language && Proficiency | knowledge_skills | Python && Proficiency | knowledge_skills | R for the purpose of Data Analysis, Proficiency in the use of a statistical programming language such as Python or R for the purpose of Data Analysis
10,webNLG,Good proficiency | knowledge_skills | SQL && Good proficiency | knowledge_skills | other database tools, Good proficiency in SQL and other database tools
11,webNLG,Understanding | knowledge_areas | latest developments in Data Analysis && Understanding | knowledge_areas | some basic Data Science concepts, Understanding the latest developments in Data Analysis including some basic Data Science concepts
12,webNLG,Ability | knowledge_skills | diagnose learner needs && Ability | knowledge_skills | adapt to their requirements in a remote environment, Ability to diagnose learner needs and adapt to their requirements in a remote environment
13,webNLG,Ability | knowledge_skills | solve problems using experience and knowledge to overcome barriers, Ability to solve problems using experience and knowledge to overcome barriers
14,webNLG,Experience | Experience_skills | a similar role ( hospitality / cinema front of house ),Experience in a similar role (hospitality/cinema front of house)
15,webNLG,"Availability | knowledge_skills | work shifts , including evenings and weekends as per business needs","Availability to work shifts, including evenings and weekends as per business needs"
16,webNLG,"Ability | knowledge_skills | work independently , exercising good initiative and judgement","Ability to work independently, exercising good initiative and judgement"
17,webNLG,Ability | knowledge_skills | work under pressure && Ability | knowledge_skills | meet reasonable deadlines and targets,Ability to work under pressure and meet reasonable deadlines and targets
18,webNLG,Understanding | knowledge_skills | Microsoft 365 ’ s PowerPlatforms ( Power BI ),Understanding of Microsoft 365’s PowerPlatforms (Power BI)
19,webNLG,Experience | Experience_skills | delivering and managing data driven projects within a consultancy,Experience delivering and managing data driven projects within a consultancy
20,webNLG,Demonstrable experience | Experience_skills | a number of data related projects, Demonstrable experience on a number of data related projects
21,webNLG,Experience | Experience_skills | defining and documenting workflow approval process within MDM,Experience of defining and documenting workflow approval process within MDM
22,webNLG,"Experience | Experience_skills | working with leading data applications for Tier 1 vendors such as IBM , SAP , Oracle and others","Experience working with leading data applications for Tier 1 vendors such as IBM, SAP, Oracle and others"
23,webNLG,Ability | knowledge_skills | develop data quality solutions by performing Data Profiling and cleansing activities,Ability to develop data quality solutions by performing Data Profiling and cleansing activities
24,webNLG,Demonstrable experience | Experience_skills | at least 2 end - to - end data centric projects && Demonstrable experience | Experience_skills | a Data / Business analyst,Demonstrable experience on at least 2 end-to-end data centric projects as a Data/Business analyst
25,webNLG,"Experience | Experience_skills | interrogating , manipulating and presenting customer and Financial Crime information , including the preparation of analytical insight and presenting to stakeholders"," Experience of interrogating, manipulating and presenting customer and Financial Crime information, including the preparation of analytical insight and presenting to stakeholders"
26,webNLG,Knowledge | knowledge_skills | risk profiling && Knowledge | knowledge_skills | segmentation," Knowledge of customer or risk profiling and segmentation,"
27,webNLG,"substantial experience | Experience_skills | any area of data analysis && substantial experience | Experience_skills | looking at complex sets of data && substantial experience | Experience_skills | using that data to answer interesting , and often non - intuitive questions && substantial experience | Experience_skills | presenting your findings in an engaging way","You have substantial experience in any area of data analysis…looking at complex sets of data, and using that data to answer interesting, and often non-intuitive questions and presenting your findings in an engaging way"
28,webNLG,"Excellent | knowledge_skills | working with , understanding , analyzing data && Experience | Experience_skills | data driven analysis","Experience in data driven analysis - Excellent at working with, understanding, analyzing data"
29,webNLG,A desire | knowledge_skills | help customers make the “ Internets ” better, A desire to help customers make the “Internets” better
30,webNLG,Understanding | knowledge_skills | web technologies && Understanding | knowledge_skills | HTML && Understanding | knowledge_skills | JS && Understanding | knowledge_skills | CSS && Understanding | knowledge_skills | networking && Understanding | knowledge_skills | Content Delivery Networks && Understanding | knowledge_skills | Cloud," Understanding of web technologies including HTML, JS, CSS, networking, Content Delivery Networks, Cloud etc"
31,webNLG,knowledge | knowledge_skills | the Head of BI && Gain experience | Experience_skills | the Head of BI,Gain experience and knowledge with the Head of BI
32,webNLG,Experience | Experience_skills | a data / analytic role && Experience | Experience_skills | a technical / administrative role,Experience in either a data / analytic role and / or a technical / administrative role
33,webNLG,"Good knowledge | knowledge_skills | Excel && Good knowledge | knowledge_skills | Data Analysis ( pivot tables , v - lookups , basic formulae )","Good knowledge of Excel and Data Analysis (pivot tables, v-lookups, basic formulae)"
34,webNLG,Workday knowledge | knowledge_skills | HR information systems && some experience | Experience_skills | HR information systems,Workday knowledge is preferred but some experience with HR information systems is essential
